n,czas
100,0.0554675
200,0.000575599
300,0.00266009
400,0.00935078
500,0.00489429
600,0.00682579
700,0.0207292
800,0.0215788
900,0.0263119
1000,0.0741782
1100,0.0419397
1200,0.0707234
1300,0.135415
1400,0.236549
1500,0.381225
1600,0.577382
1700,1.13945
1800,1.11277
1900,1.37916
2000,1.72669
