n,czas
100,0.0953405
200,0.000714641
300,0.00169826
400,0.0133631
500,0.0215652
600,0.0288935
700,0.0273518
800,0.0296593
900,0.0858092
1000,0.0827982
1100,0.0704927
1200,0.122775
1300,0.152717
1400,0.277378
1500,0.64904
1600,0.639938
1700,0.843498
1800,1.1267
1900,1.39904
2000,1.78047
