n,czas
100,0.000648597
200,0.00131559
300,0.00502177
400,0.0101043
500,0.0218622
600,0.0333811
700,0.0498252
800,0.0722008
900,0.104255
1000,0.149414
1100,0.228802
1200,0.447519
1300,0.485438
1400,0.66439
1500,0.795314
1600,1.01534
1700,1.25108
1800,1.52946
1900,1.84555
2000,2.18845
