n,czas
100,0.0002237
200,0.0013764
300,0.00460759
400,0.00896928
500,0.0186151
600,0.0299686
700,0.0471163
800,0.0749341
900,0.107566
1000,0.153086
1100,0.229547
1200,0.36019
1300,0.457499
1400,0.615479
1500,0.811448
1600,1.00647
1700,1.28116
1800,1.67791
1900,1.86645
2000,2.21655
