n,gflops
100,0.00895166
200,9.42288
300,5.31759
400,2.30039
500,5.99655
600,13.3981
700,17.2144
800,15.66
900,21.8909
1000,21.6805
1100,20.6107
1200,16.6369
1300,11.3906
1400,7.67442
1500,5.67808
1600,4.10026
1700,4.18326
1800,3.56009
1900,2.54503
2000,3.05462
