n,gflops
100,2.98018
200,3.87485
300,3.9066
400,4.75698
500,4.47666
600,4.80502
700,4.85324
800,4.55512
900,4.51814
1000,4.35486
1100,3.86558
1200,3.19831
1300,3.20146
1400,2.97221
1500,2.77282
1600,2.71311
1700,2.55655
1800,2.31717
1900,2.44992
2000,2.40614
