n,gflops
100,3.21907
200,3.55249
300,3.56204
400,3.10363
500,4.26446
600,8.44171
700,3.72878
800,3.95901
900,3.80913
1000,4.12708
1100,4.46288
1200,3.47296
1300,3.77013
1400,3.69433
1500,3.4948
1600,3.0168
1700,2.89568
1800,2.84877
1900,2.54304
2000,2.79587
