n,gflops
100,0.00699248
200,7.46295
300,10.5991
400,3.19287
500,3.86425
600,4.98382
700,8.3602
800,11.5085
900,5.66373
1000,8.0517
1100,12.5876
1200,9.38301
1300,9.59073
1400,6.59508
1500,3.46666
1600,4.26708
1700,3.88304
1800,3.45078
1900,3.26844
2000,2.99546
