n,czas
100,0.0744741
200,0.000565998
300,0.00338499
400,0.0185476
500,0.0138969
600,0.0107478
700,0.0132835
800,0.0217965
900,0.022201
1000,0.0307496
1100,0.043052
1200,0.0692439
1300,0.128585
1400,0.238368
1500,0.396261
1600,0.665974
1700,0.782962
1800,1.09211
1900,1.7967
2000,1.74599
