n,gflops
100,1.02786
200,4.05394
300,3.58439
400,4.22261
500,3.81176
600,4.31382
700,4.58937
800,4.72755
900,4.66165
1000,4.46186
1100,3.87818
1200,2.5742
1300,3.0172
1400,2.7534
1500,2.82907
1600,2.68941
1700,2.618
1800,2.54207
1900,2.47768
2000,2.43703
